time, number of rows, filesize (MB)
2024-02-02 21:12:36.440883, 129283, 58.994688
2024-02-02 21:14:36.575491, 129992, 59.318272
2024-02-02 21:16:36.580219, 130699, 59.641856
2024-02-02 21:18:36.636038, 131400, 59.961344
2024-02-02 21:20:36.708953, 132105, 60.280832
2024-02-02 21:22:36.766340, 132791, 60.596224
2024-02-02 21:24:36.965744, 133455, 60.899328
2024-02-02 21:26:36.949202, 134119, 61.202432
2024-02-02 21:28:37.143879, 134784, 61.505536
2024-02-02 21:30:37.277685, 135465, 61.812736
2024-02-02 21:32:37.428192, 136151, 62.128128
2024-02-02 21:34:37.456774, 136850, 62.447616
2024-02-02 21:36:37.481752, 137554, 62.767104
2024-02-02 21:38:37.620683, 138253, 63.086592
2024-02-02 21:40:37.661692, 138958, 63.40608
2024-02-02 21:42:37.632888, 139654, 63.729664
2024-02-02 21:44:37.727653, 140346, 64.045056
2024-02-02 21:46:37.725468, 141022, 64.352256
2024-02-02 21:48:37.734229, 141695, 64.65536
2024-02-02 21:50:37.872992, 142367, 64.96256
2024-02-02 21:52:37.944380, 143029, 65.265664
2024-02-02 21:54:38.061936, 143672, 65.560576
2024-02-02 21:56:38.148991, 144307, 65.851392
2024-02-02 21:58:38.157355, 144937, 66.138112
2024-02-02 22:00:38.212068, 145558, 66.420736
2024-02-02 22:02:38.297708, 146187, 66.707456
2024-02-02 22:04:38.728774, 146827, 67.002368
2024-02-02 22:06:38.760222, 147485, 67.301376
2024-02-02 22:08:38.766665, 148133, 67.596288
2024-02-02 22:10:38.776275, 148765, 67.883008
2024-02-02 22:12:38.770263, 149401, 68.173824
2024-02-02 22:14:39.193020, 150039, 68.46464
2024-02-02 22:16:39.190784, 150678, 68.759552
2024-02-02 22:18:39.230955, 151322, 69.050368
2024-02-02 22:20:39.233151, 151970, 69.34528
2024-02-02 22:22:39.242294, 152609, 69.636096
2024-02-02 22:24:39.286337, 153228, 69.91872
2024-02-02 22:26:39.286528, 153831, 70.197248
2024-02-02 22:28:39.295278, 154441, 70.475776
2024-02-02 22:30:39.403981, 155062, 70.7584
2024-02-02 22:32:39.452071, 155694, 71.04512
2024-02-02 22:34:39.641225, 156337, 71.335936
2024-02-02 22:36:39.650330, 156975, 71.626752
2024-02-02 22:38:39.657849, 157604, 71.917568
2024-02-02 22:40:39.793138, 158234, 72.204288
2024-02-02 22:42:39.815675, 158859, 72.491008
2024-02-02 22:44:39.940009, 159487, 72.773632
2024-02-02 22:46:40.015255, 160108, 73.056256
2024-02-02 22:48:40.013155, 160732, 73.342976
2024-02-02 22:50:40.122703, 161356, 73.629696
2024-02-02 22:52:40.133055, 161973, 73.91232
2024-02-02 22:54:40.303040, 162575, 74.182656
2024-02-02 22:56:40.301772, 163161, 74.452992
2024-02-02 22:58:40.397559, 163739, 74.715136
2024-02-02 23:00:40.501620, 164315, 74.97728
2024-02-02 23:02:40.525450, 164907, 75.251712
2024-02-02 23:04:41.346171, 165499, 75.517952
2024-02-02 23:06:41.362018, 166105, 75.79648
2024-02-02 23:08:41.353742, 166713, 76.070912
2024-02-02 23:10:41.389979, 167327, 76.34944
2024-02-02 23:12:41.384250, 167946, 76.632064
2024-02-02 23:14:41.382961, 168566, 76.918784
2024-02-02 23:16:41.396254, 169181, 77.197312
2024-02-02 23:18:41.437090, 169801, 77.479936
2024-02-02 23:20:41.446563, 170428, 77.766656
2024-02-02 23:22:41.456166, 171054, 78.053376
2024-02-02 23:24:41.431811, 171666, 78.331904
2024-02-02 23:26:41.445307, 172269, 78.610432
2024-02-02 23:28:42.445878, 172872, 78.884864
2024-02-02 23:30:41.867148, 173488, 79.163392
2024-02-02 23:32:42.425148, 174112, 79.446016
2024-02-02 23:34:42.658846, 174744, 79.736832
2024-02-02 23:36:43.070789, 175376, 80.027648
2024-02-02 23:38:42.638117, 175998, 80.310272
2024-02-02 23:40:42.650731, 176609, 80.5888
2024-02-02 23:42:42.658972, 177209, 80.859136
2024-02-02 23:44:42.672083, 177813, 81.137664
2024-02-02 23:46:42.680946, 178407, 81.408
2024-02-02 23:48:42.693400, 178999, 81.678336
2024-02-02 23:50:42.702024, 179584, 81.944576
2024-02-02 23:52:42.712193, 180160, 82.20672
2024-02-02 23:54:42.756377, 180709, 82.456576
2024-02-02 23:56:42.765460, 181239, 82.69824
2024-02-02 23:58:42.775992, 181759, 82.935808
2024-02-03 00:00:42.768940, 182264, 83.165184
2024-02-03 00:02:42.841049, 182776, 83.402752
2024-02-03 00:04:42.993129, 183296, 83.64032
2024-02-03 00:06:42.993204, 183813, 83.873792
2024-02-03 00:08:43.017289, 184319, 84.103168
2024-02-03 00:10:43.297899, 184816, 84.332544
2024-02-03 00:12:43.338296, 185296, 84.549632
2024-02-03 00:14:43.318272, 185778, 84.770816
2024-02-03 00:16:43.315834, 186248, 84.987904
2024-02-03 00:18:43.349467, 186726, 85.204992
2024-02-03 00:20:43.393583, 187206, 85.42208
2024-02-03 00:22:43.482530, 187686, 85.643264
2024-02-03 00:24:43.656780, 188154, 85.856256
2024-02-03 00:26:43.665373, 188598, 86.05696
2024-02-03 00:28:43.729964, 189010, 86.245376
2024-02-03 00:30:43.722953, 189417, 86.429696
2024-02-03 00:32:44.032817, 189803, 86.60992
2024-02-03 00:34:44.037367, 190187, 86.781952
2024-02-03 00:36:44.073473, 190581, 86.962176
2024-02-03 00:38:44.781174, 190959, 87.134208
2024-02-03 00:40:44.098950, 191317, 87.298048
2024-02-03 00:42:44.184701, 191657, 87.453696
2024-02-03 00:44:44.369477, 191982, 87.601152
2024-02-03 00:46:44.383840, 192297, 87.744512
2024-02-03 00:48:44.676377, 192609, 87.887872
2024-02-03 00:50:44.701550, 192918, 88.027136
2024-02-03 00:52:44.691069, 193217, 88.1664
2024-02-03 00:54:44.726306, 193491, 88.293376
2024-02-03 00:56:44.751669, 193748, 88.408064
2024-02-03 00:58:44.915840, 193985, 88.51456
2024-02-03 01:00:44.963689, 194217, 88.621056
2024-02-03 01:02:44.977088, 194444, 88.723456
2024-02-03 01:04:45.105408, 194673, 88.829952
2024-02-03 01:06:45.161285, 194905, 88.936448
2024-02-03 01:08:45.175659, 195127, 89.034752
2024-02-03 01:10:45.339389, 195352, 89.137152
2024-02-03 01:12:45.347348, 195574, 89.239552
2024-02-03 01:14:45.493260, 195789, 89.337856
2024-02-03 01:16:45.514032, 196005, 89.43616
2024-02-03 01:18:45.806068, 196230, 89.53856
2024-02-03 01:20:45.815353, 196459, 89.64096
2024-02-03 01:22:45.841274, 196683, 89.74336
2024-02-03 01:24:45.906985, 196899, 89.84576
2024-02-03 01:26:45.921517, 197097, 89.935872
2024-02-03 01:28:46.399797, 197291, 90.025984
2024-02-03 01:30:46.411788, 197489, 90.116096
2024-02-03 01:32:46.437591, 197691, 90.206208
2024-02-03 01:34:46.447487, 197908, 90.304512
2024-02-03 01:36:46.457412, 198139, 90.411008
2024-02-03 01:38:46.454364, 198378, 90.5216
2024-02-03 01:40:46.461578, 198629, 90.636288
2024-02-03 01:42:46.518347, 198877, 90.74688
2024-02-03 01:44:46.730512, 199131, 90.865664
2024-02-03 01:46:46.728700, 199379, 90.976256
2024-02-03 01:48:46.753179, 199620, 91.086848
2024-02-03 01:50:46.800692, 199853, 91.193344
2024-02-03 01:52:46.917338, 200070, 91.291648
2024-02-03 01:54:47.053685, 200280, 91.385856
2024-02-03 01:56:47.182555, 200495, 91.488256
2024-02-03 01:58:47.381972, 200711, 91.58656
2024-02-03 02:00:47.438837, 200932, 91.68896
2024-02-03 02:02:47.510381, 201163, 91.79136
2024-02-03 02:04:47.548137, 201387, 91.89376
2024-02-03 02:06:47.542144, 201611, 91.99616
2024-02-03 02:08:47.846976, 201832, 92.09856
2024-02-03 02:10:47.884867, 202045, 92.192768
2024-02-03 02:12:47.897625, 202267, 92.295168
2024-02-03 02:14:47.902475, 202486, 92.393472
2024-02-03 02:16:47.994986, 202722, 92.504064
2024-02-03 02:18:48.542623, 202958, 92.61056
2024-02-03 02:20:48.553522, 203195, 92.717056
2024-02-03 02:22:48.559749, 203422, 92.819456
2024-02-03 02:24:48.590194, 203646, 92.921856
2024-02-03 02:26:48.582838, 203877, 93.028352
2024-02-03 02:28:48.594009, 204112, 93.138944
2024-02-03 02:30:48.619212, 204350, 93.249536
2024-02-03 02:32:49.391514, 204582, 93.351936
2024-02-03 02:34:48.714043, 204814, 93.458432
2024-02-03 02:36:48.738844, 205040, 93.560832
2024-02-03 02:38:48.728126, 205264, 93.663232
2024-02-03 02:40:48.770056, 205492, 93.765632
2024-02-03 02:42:48.815674, 205724, 93.872128
2024-02-03 02:44:48.954970, 205956, 93.978624
2024-02-03 02:46:49.026814, 206196, 94.089216
2024-02-03 02:48:49.035656, 206435, 94.195712
2024-02-03 02:50:49.181111, 206674, 94.306304
2024-02-03 02:52:49.198917, 206894, 94.404608
2024-02-03 02:54:49.456484, 207099, 94.498816
2024-02-03 02:56:49.469486, 207295, 94.588928
2024-02-03 02:58:49.462921, 207489, 94.674944
2024-02-03 03:00:49.618121, 207705, 94.777344
2024-02-03 03:02:49.594743, 207928, 94.879744
2024-02-03 03:04:49.869637, 208152, 94.982144
2024-02-03 03:06:49.899107, 208376, 95.084544
2024-02-03 03:08:49.884694, 208602, 95.186944
2024-02-03 03:10:49.886624, 208827, 95.289344
2024-02-03 03:12:49.918372, 209045, 95.387648
2024-02-03 03:14:50.191353, 209267, 95.490048
2024-02-03 03:16:50.205476, 209485, 95.588352
2024-02-03 03:18:50.253515, 209701, 95.686656
2024-02-03 03:20:50.323054, 209906, 95.780864
2024-02-03 03:22:50.323642, 210106, 95.870976
2024-02-03 03:24:50.489011, 210302, 95.961088
2024-02-03 03:26:50.487142, 210486, 96.043008
2024-02-03 03:28:50.808578, 210670, 96.129024
2024-02-03 03:30:50.851785, 210857, 96.21504
2024-02-03 03:32:50.847761, 211049, 96.301056
2024-02-03 03:34:50.927763, 211241, 96.391168
2024-02-03 03:36:50.957165, 211428, 96.477184
2024-02-03 03:38:50.990729, 211612, 96.5632
2024-02-03 03:40:51.026828, 211789, 96.641024
2024-02-03 03:42:51.075905, 211963, 96.722944
2024-02-03 03:44:51.266884, 212131, 96.796672
2024-02-03 03:46:51.275692, 212292, 96.8704
2024-02-03 03:48:51.380067, 212452, 96.944128
2024-02-03 03:50:51.441005, 212601, 97.01376
2024-02-03 03:52:51.535603, 212739, 97.0752
2024-02-03 03:54:51.648511, 212857, 97.128448
2024-02-03 03:56:51.679508, 212969, 97.181696
2024-02-03 03:58:51.762782, 213081, 97.230848
2024-02-03 04:00:51.830823, 213201, 97.288192
2024-02-03 04:02:51.903460, 213326, 97.34144
2024-02-03 04:04:52.061604, 213443, 97.394688
2024-02-03 04:06:52.111260, 213555, 97.447936
2024-02-03 04:08:52.208479, 213667, 97.497088
2024-02-03 04:10:52.234035, 213779, 97.550336
2024-02-03 04:12:52.261814, 213888, 97.599488
2024-02-03 04:14:52.483700, 213992, 97.644544
2024-02-03 04:16:52.513939, 214096, 97.693696
2024-02-03 04:18:52.513039, 214200, 97.742848
2024-02-03 04:20:52.639274, 214304, 97.787904
2024-02-03 04:22:52.683311, 214406, 97.837056
2024-02-03 04:24:52.864271, 214498, 97.878016
2024-02-03 04:26:52.870744, 214594, 97.918976
2024-02-03 04:28:52.941790, 214694, 97.972224
2024-02-03 04:30:53.136794, 214798, 98.01728
2024-02-03 04:32:53.155493, 214899, 98.062336
2024-02-03 04:34:53.319358, 214995, 98.107392
2024-02-03 04:36:53.349712, 215084, 98.148352
2024-02-03 04:38:53.353978, 215165, 98.185216
2024-02-03 04:40:53.499041, 215248, 98.22208
2024-02-03 04:42:53.503018, 215336, 98.26304
